"","Old.number","Current.number","Plot","Subplot","a.2006..n.2011..nv.2016","Exclude","Added","Alive2006","Alive2011","Alive2016","Family","Species..names.not.updated.","C.Cerrado..G.generalist.","Shade.Tolerance","H.2016.m","DAP1.16","DAP2.16","DAP3.16","DAP4.16","DAP5.16","DAP6.16","DAP7.16","G2016..m2.","dg2016..cm.","H.2011..m.","DAP.1.11","DAP2.11","DAP3.11","DAP4.11","DAP5.11","DAP6.11","DAP7.11","G2011..m2.","dg.2011..cm.","H.2006","DAP1.06","DAP2.06","DAP3.06","DAP4.06","DAP5.06","DAP6.06","DAP7.06","G2006..m2.","dg2006..cm.","dg.2006.cm","dg.2011.cm","dg.2016.cm","dbh.annual.increment.cm._10.years","Code","BA.above2006","BA.above2011","Died2011","Died2016","TBA.2006.m2ha.1","TBA.2011.m2.ha.1","Total.sand..","Clay..","Silt..","Coarse.sand..","Fine.sand..","Base.saturation.V..0.20cm","clay.silt..","Fine.sand.clay.silt","Areia.Grossa","Base.saturation.V..60.80cm","Canopy.cover..","Canopy.oppeness..","Transprecipitation.2006..","soil.humidity.0.20cm..","Diameter.increment.cm.yr","PC1","PC2"
"3163","1518","1518","8","6","a","y","2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",9,"8.4",NA,NA,NA,NA,NA,NA,0.0055,"8.4",7,"8.1",NA,NA,NA,NA,NA,NA,0.0052,"8.1",8.13,8.4,NA,NA,"OCCO",0.6808,0.4795,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3164","1524","1524","8","6","a",NA,"2006","v","v","m","VOCHYSIACEAE","Qualea cordata (Mart.) Spreng.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",3,"7",NA,NA,NA,NA,NA,NA,0.0038,"7",5.5,"7.6",NA,NA,NA,NA,NA,NA,0.0046,"7.6",7.62,7,0,-0.762,"QUCO",0.8456,1.559,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3165","1519","1519","8","6","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",3.5,"5.2",NA,NA,NA,NA,NA,NA,0.0021,"5.2",5.21,NA,NA,NA,"OCCO",1.2,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3166","1523","1523","8","6","a",NA,"2006","v","m","m","ANNONACEAE","Annona crassiflora Mart.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",4,"7.6",NA,NA,NA,NA,NA,NA,0.0046,"7.6",7.62,NA,NA,NA,"ANCR",1.0072,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3167","1522","1522","8","6","a",NA,"2006","v","m","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",12,"25.4","27.2","21.8","19.3",NA,NA,NA,0.1754,"47.3",47.26,NA,NA,NA,"VOTU",0.0415,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3168","1527","1527","8","6","a","y","2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",NA,"<5",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",5,"9.7",NA,NA,NA,NA,NA,NA,0.0073,"9.7",9.65,NA,NA,NA,"OCCO",0.8727,0,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3169","1537","1537","8","7","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",8.5,"9.9",NA,NA,NA,NA,NA,NA,0.0077,"9.9",5,"9.1",NA,NA,NA,NA,NA,NA,0.0066,"9.1",9.14,9.9,0,-0.914,"OCCO",0.8727,0.5084,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3170","1538","1538","8","7","a",NA,"2006","v","v","m","FABACEAE","Stryphnodendron obovatum Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",3,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",3,"8.6",NA,NA,NA,NA,NA,NA,0.0059,"8.6",8.64,8.9,0,-0.864,"STOB",1.2922,1.559,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3171","1530","1530","8","7","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",7,"9.5","9.1",NA,NA,NA,NA,NA,0.0137,"13.2",13.2,NA,NA,NA,"OCCO",0.6808,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3172","1563","1563","8","9","a",NA,"2006","v","v","m","FABACEAE","Stryphnodendron obovatum Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",5,"5.2",NA,NA,NA,NA,NA,NA,0.0021,"5.2",3.5,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.2,0,-0.508,"STOB",1.2,1.3486,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3173","1551","1551","8","9","a",NA,"2006","v","v","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",2.5,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",2.5,"6.6",NA,NA,NA,NA,NA,NA,0.0034,"6.6",6.6,5.6,0,-0.66,"TAOC",1.3483,1.5883,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3174","1556","1556","8","9","a",NA,"2006","v","m","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",4,"8.6",NA,NA,NA,NA,NA,NA,0.0059,"8.6",8.64,NA,NA,NA,"VOTU",1.0072,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3175","1567","1567","8","9","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",5,"7.6",NA,NA,NA,NA,NA,NA,0.0046,"7.6",7.62,NA,NA,NA,"OCCO",0.8727,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3176","1575","1575","8","10","a","y","2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",8,"11.6",NA,NA,NA,NA,NA,NA,0.0106,"11.6",6,"9.3",NA,NA,NA,NA,NA,NA,0.0068,"9.3",9.27,11.6,NA,NA,"OCCO",0.7569,0.5873,"n","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3177","1576","1576","8","10","a",NA,"2006","v","v","m","FABACEAE","Stryphnodendron obovatum Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",4.5,"8.5","6",NA,NA,NA,NA,NA,0.0085,"10.4",3,"8.6",NA,NA,NA,NA,NA,NA,0.0059,"8.6",8.64,10.4,0,-0.864,"STOB",1.2922,1.4436,"n","y",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3178","1571","1571","8","10","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",6,"9.7",NA,NA,NA,NA,NA,NA,0.0073,"9.7",9.65,NA,NA,NA,"OCCO",0.7569,0,"y","n",13.78,16.07537253,47.65,10.65,2.08,47.62,39.65,9.1,12.7,52.4,47.62,12.8,74.571,25.43,91.02,0.63,0.34,-0.880020626812548,-0.842561189427455
"3179","1602","1602","9","3","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",6,"8.2",NA,NA,NA,NA,NA,NA,0.0053,"8.2",4,"7.4",NA,NA,NA,NA,NA,NA,0.0043,"7.4",7.37,8.2,0,-0.737,"OCCO",0.9687,1.06,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3180","1598","1598","9","3","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",9.5,"14.5",NA,NA,NA,NA,NA,NA,0.0165,"14.5",9,"13","7.6",NA,NA,NA,NA,NA,0.0177,"15",15.03,14.5,0,-1.503,"OCCO",0.4377,0.5012,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3181","1601","1601","9","3","a",NA,"2006","v","m","m","FABACEAE","Dimorphandra mollis Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",2.5,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,NA,NA,NA,"DIMO",1.0467,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3182","1590","1590","9","3","a",NA,"2006","v","m","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",2.5,"9.1",NA,NA,NA,NA,NA,NA,0.0066,"9.1",9.14,NA,NA,NA,"TAOC",1.0467,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3183","1596","1596","9","3","a",NA,"2006","v","m","m","MYRSINACEAE","Rapanea umbellata (Mart.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",5,"5",NA,NA,NA,NA,NA,NA,0.002,"5",5.03,NA,NA,NA,"RAUM",0.8794,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3184","1608","1608","9","4","a","y","2006","v","v","v","FABACEAE","Anadenanthera falcata (Benth.) Speg.","C","I",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",8,"11",NA,NA,NA,NA,NA,NA,0.0095,"11",6,"8.4",NA,NA,NA,NA,NA,NA,0.0055,"8.4",8.38,11,NA,NA,"ANFA",0.7317,0.6758,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3185","1619","1619","9","5","a","y","2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",8,"8",NA,NA,NA,NA,NA,NA,0.005,"8",4.5,"6.4",NA,NA,NA,NA,NA,NA,0.0032,"6.4",6.35,8,NA,NA,"VOTU",0.9341,0.6758,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3186","1634","1634","9","5","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",8,"11.2",NA,NA,NA,NA,NA,NA,0.0099,"11.2",7,"11.7",NA,NA,NA,NA,NA,NA,0.0107,"11.7",11.68,11.2,0,-1.168,"OCCO",0.6094,0.6758,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3187","1625","1625","9","5","a",NA,"2006","v","v","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",4,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",4,"7.4",NA,NA,NA,NA,NA,NA,0.0043,"7.4",7.37,7.5,0,-0.737,"TAOC",0.9687,1.342,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3188","1621","1621","9","5","a",NA,"2006","v","m","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",1.5,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,NA,NA,NA,"TAOC",1.0999,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3189","1631","1631","9","5","a",NA,"2006","v","m","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",2.5,"5.8",NA,NA,NA,NA,NA,NA,0.0027,"5.8",5.84,NA,NA,NA,"TAOC",1.0467,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3190","1624","1624","9","5","a",NA,"2006","v","m","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",3.5,"7.9",NA,NA,NA,NA,NA,NA,0.0049,"7.9",7.87,NA,NA,NA,"TAOC",1.0091,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3191","1641","1641","9","6","a",NA,"2006","v","v","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",5,"6.3",NA,NA,NA,NA,NA,NA,0.0031,"6.3",5,"5",NA,NA,NA,NA,NA,NA,0.002,"5",5.03,6.3,0,-0.503,"VOTU",0.8794,1.2513,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3192","1638","1638","9","6","a",NA,"2006","v","v","m","MYRTACEAE","Myrcia bella Cambess","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",5,"6.7",NA,NA,NA,NA,NA,NA,0.0035,"6.7",4,"6.6",NA,NA,NA,NA,NA,NA,0.0034,"6.6",6.6,6.7,0,-0.66,"MYBE",0.9687,1.2513,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3193","1639","1639","9","6","a","y","2006","v","v","v","FABACEAE","Acosmium subelegans (Mohlenbr.) Yakovlev","C","I",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",3,"5.5",NA,NA,NA,NA,NA,NA,0.0024,"5.5",3,"5.1",NA,NA,NA,NA,NA,NA,0.002,"5.1",5.08,5.5,NA,NA,"ACSU",1.0343,1.3993,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3194","1650","1650","9","6","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",8,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",7.49,NA,NA,NA,"OCCO",0.5091,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3195","1668","1668","9","7","a","y","2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",8,"8.5",NA,NA,NA,NA,NA,NA,0.0057,"8.5",5,"5.3",NA,NA,NA,NA,NA,NA,0.0022,"5.3",5.33,8.5,NA,NA,"OCCO",0.8794,0.6758,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3196","1672","1672","9","7","a",NA,"2006","v","v","m","FABACEAE","Stryphnodendron obovatum Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",6,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",4,"5.6",NA,NA,NA,NA,NA,NA,0.0025,"5.6",5.59,7.5,0,-0.559,"STOB",0.9687,1.06,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3197","1653","1653","9","7","a","y","2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",3,"13",NA,NA,NA,NA,NA,NA,0.0133,"13",8,"11.7",NA,NA,NA,NA,NA,NA,0.0107,"11.7",11.68,13,NA,NA,"VOTU",0.5091,1.3993,"n","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3198","1654","1654","9","7","a",NA,"2006","v","m","m","BIGNONIACEAE","Tabebuia ochracea (Cham.) Standl","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",2.5,"7.1",NA,NA,NA,NA,NA,NA,0.004,"7.1",7.11,NA,NA,NA,"TAOC",1.0467,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3199","1661","1661","9","7","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",7,"9.3","7.1",NA,NA,NA,NA,NA,0.0107,"11.7",11.68,NA,NA,NA,"OCCO",0.6094,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3200","1676","1676","9","8","a",NA,"2006","v","v","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",6,"7.5",NA,NA,NA,NA,NA,NA,0.0044,"7.5",4,"5.2",NA,NA,NA,NA,NA,NA,0.0021,"5.2",5.21,7.5,0,-0.521,"VOTU",0.9687,1.06,"n","y",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3201","1694","1694","9","10","a",NA,"2006","v","m","m","ANNONACEAE","Xylopia aromatica (Lam.) Mart.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",7,"5.3",NA,NA,NA,NA,NA,NA,0.0022,"5.3",5.33,NA,NA,NA,"XYAR",0.6094,0,"y","n",11.2,14.71925694,50.68,10,2.38,45.94,41.68,9.7,12.4,54.1,45.94,12.8,76.873,23.13,93.21,0.38,0.31,-1.37003269241337,-0.163952112460169
"3202","1701","1701","10","1","a",NA,"2006","v","v","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",4,"16.2",NA,NA,NA,NA,NA,NA,0.0206,"16.2",6.5,"16.5",NA,NA,NA,NA,NA,NA,0.0214,"16.5",16.51,16.2,0,-1.651,"VOTU",1.1923,1.7975,"n","y",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3203","1711","1711","10","2","a",NA,"2006","v","v","m","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",1.5,"<5",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",4,"7.1",NA,NA,NA,NA,NA,NA,0.004,"7.1",7.11,NA,NA,NA,"VOTU",1.4285,1.8811,"n","y",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3204","1716","1716","10","2","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",7,"10.3",NA,NA,NA,NA,NA,NA,0.0083,"10.3",6,"9.7",NA,NA,NA,NA,NA,NA,0.0073,"9.7",9.65,10.3,0,-0.965,"OCCO",1.2294,1.3012,"n","y",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3205","1720","1720","10","2","a",NA,"2006","v","v","m","FABACEAE","Stryphnodendron obovatum Benth.","C","I",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",4.5,"10.2",NA,NA,NA,NA,NA,NA,0.0082,"10.2",4,"8.9",NA,NA,NA,NA,NA,NA,0.0062,"8.9",8.89,10.2,0,-0.889,"STOB",1.4285,1.7793,"n","y",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3206","1717","1717","10","2","a",NA,"2006","v","m","m","MYRSINACEAE","Rapanea umbellata (Mart.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",7,"6.9","5.8",NA,NA,NA,NA,NA,0.0064,"9",9.01,NA,NA,NA,"RAUM",1.019,0,"y","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3207","1712","1712","10","2","a",NA,"2006","v","m","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",9,"10.7","7.9",NA,NA,NA,NA,NA,0.0138,"13.3",13.26,NA,NA,NA,"OCCO",0.661,0,"y","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3208","1723","1723","10","3","a",NA,"2006","v","v","m","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",5,"<5",NA,NA,NA,NA,NA,NA,NA,"#VALUE!",4,"6.9",NA,NA,NA,NA,NA,NA,0.0037,"6.9",6.86,NA,NA,NA,"OCCO",1.4285,1.6486,"n","y",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
"3209","1730","1730","10","3","a","y","2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T",NA,"<5",NA,NA,NA,NA,NA,NA,"#VALUE!","#VALUE!",9,"6.6","6.2","8","8.3",NA,NA,NA,0.0169,"14.7",8,"6.4","6.6","14.5",NA,NA,NA,NA,0.0231,"17.1",17.13,14.66,NA,NA,"OCCO",0.7738,0.729,"n","n",15.51,18.81182539,52.74,9.53,2.82,44.92,42.74,9.3,12.4,55.1,44.92,12.5,70.069,29.93,89.55,0.59,0.28,-0.761226558400938,-0.354406177627426
